Graph loaded
<torch.utils.data.dataloader.DataLoader object at 0x7f4ae98242e0>
Data Loaded
Starting training
Epoch 1: loss=6.4606
Epoch 1: loss=6.4630
Epoch 1: loss=6.4368
Epoch 1: loss=6.4161
Epoch 1: loss=6.3847
Epoch 1: loss=6.5118
Epoch 1: loss=6.3212
Epoch 1: loss=6.2848
Epoch 1: loss=6.2236
Epoch 1: loss=6.1291
Epoch 1: loss=5.9977
Epoch 1: loss=5.8335
Epoch 1: loss=5.6590
Epoch 1: loss=7.8430
Epoch 1: loss=5.5305
Epoch 1: loss=5.5570
Epoch 1: loss=6.8551
Epoch 1: loss=6.5282
Epoch 1: loss=5.7465
Epoch 1: loss=6.1947
Epoch 1: loss=7.4846
Epoch 1: loss=5.9237
Epoch 1: loss=5.9817
Epoch 1: loss=6.0062
Epoch 1: loss=6.6475
Epoch 1: loss=6.4985
Epoch 1: loss=6.2580
Epoch 1: loss=6.0506
Epoch 1: loss=6.0409
Epoch 1: loss=6.9274
Epoch 1: loss=6.2365
Epoch 1: loss=6.2194
Epoch 1: loss=6.4512
Epoch 1: loss=6.6234
Epoch 1: loss=6.0839
Epoch 1: loss=6.0860
Epoch 1: loss=6.2910
Epoch 1: loss=6.2804
Epoch 1: loss=6.4365
Epoch 1: loss=5.9839
Epoch 1: loss=6.3663
Epoch 1: loss=5.8704
Epoch 1: loss=5.7801
Epoch 1: loss=5.6735
Epoch 1: loss=5.5697
Epoch 1: loss=5.4876
Epoch 1: loss=5.9884
Epoch 1: loss=8.5498
Epoch 1: loss=5.4481
Epoch 1: loss=5.5274
Epoch 1: loss=5.5379
Epoch 1: loss=7.3092
Epoch 1: loss=5.4862
Epoch 1: loss=5.4705
Epoch 1: loss=7.4585
Epoch 1: loss=5.5017
Epoch 1: loss=5.9627
Epoch 1: loss=5.5193
Epoch 1: loss=6.0774
Epoch 1: loss=5.4348
Epoch 1: loss=5.3578
Epoch 2: loss=5.2630
Epoch 2: loss=6.0999
Epoch 2: loss=5.9986
Epoch 2: loss=5.3036
Epoch 2: loss=5.3587
Epoch 2: loss=7.8729
Epoch 2: loss=5.4612
Epoch 2: loss=5.5260
Epoch 2: loss=5.5628
Epoch 2: loss=5.5732
Epoch 2: loss=5.5606
Epoch 2: loss=5.5270
Epoch 2: loss=5.4764
Epoch 2: loss=5.4164
Epoch 2: loss=5.3569
Epoch 2: loss=5.3116
Epoch 2: loss=5.2827
Epoch 2: loss=6.0227
Epoch 2: loss=6.6133
Epoch 2: loss=6.0526
Epoch 2: loss=5.9323
Epoch 2: loss=5.4238
Epoch 2: loss=5.4555
Epoch 2: loss=5.7542
Epoch 2: loss=5.4904
Epoch 2: loss=5.4917
Epoch 2: loss=5.4851
Epoch 2: loss=5.9981
Epoch 2: loss=6.1590
Epoch 2: loss=5.4224
Epoch 2: loss=5.6500
Epoch 2: loss=6.1014
Epoch 2: loss=5.5872
Epoch 2: loss=5.8869
Epoch 2: loss=5.3958
Epoch 2: loss=5.5405
Epoch 2: loss=5.3915
Epoch 2: loss=6.0108
Epoch 2: loss=5.9657
Epoch 2: loss=5.8096
Epoch 2: loss=5.3952
Epoch 2: loss=5.3976
Epoch 2: loss=5.3915
Epoch 2: loss=5.5102
Epoch 2: loss=5.5063
Epoch 2: loss=5.8049
Epoch 2: loss=5.3521
Epoch 2: loss=5.7897
Epoch 2: loss=5.3402
Epoch 2: loss=6.1377
Epoch 2: loss=5.3550
Epoch 2: loss=5.3660
Epoch 2: loss=5.3630
Epoch 2: loss=5.3518
Epoch 2: loss=5.7938
Epoch 2: loss=5.9588
Epoch 2: loss=5.3674
Epoch 2: loss=5.6238
Epoch 2: loss=5.5865
Epoch 2: loss=5.4183
Epoch 2: loss=5.4304
Epoch 3: loss=5.4296
Epoch 3: loss=5.4168
Epoch 3: loss=6.9200
Epoch 3: loss=5.3849
Epoch 3: loss=5.9185
Epoch 3: loss=5.8257
Epoch 3: loss=5.4276
Epoch 3: loss=5.4482
Epoch 3: loss=5.4362
Epoch 3: loss=5.4014
Epoch 3: loss=5.3666
Epoch 3: loss=5.3486
Epoch 3: loss=5.3478
Epoch 3: loss=5.3560
Epoch 3: loss=5.8876
Epoch 3: loss=5.3751
Epoch 3: loss=6.2782
Epoch 3: loss=5.9135
Epoch 3: loss=5.3868
Epoch 3: loss=5.5536
Epoch 3: loss=5.3776
Epoch 3: loss=5.8788
Epoch 3: loss=6.3232
