Graph loaded
<torch.utils.data.dataloader.DataLoader object at 0x7f2a0cde4670>
Data Loaded
Starting training
Epoch 1: loss=6.4656
Epoch 1: loss=6.4508
Epoch 1: loss=6.4321
Epoch 1: loss=6.3832
Epoch 1: loss=6.3402
Epoch 1: loss=6.3618
Epoch 1: loss=6.1770
Epoch 1: loss=6.2352
Epoch 1: loss=5.9012
Epoch 1: loss=6.5858
Epoch 1: loss=6.4480
Epoch 1: loss=5.7242
Epoch 1: loss=5.6991
Epoch 1: loss=5.9794
Epoch 1: loss=6.2114
Epoch 1: loss=5.9850
Epoch 1: loss=5.9561
Epoch 1: loss=5.8988
Epoch 1: loss=5.5227
Epoch 1: loss=5.8720
Epoch 1: loss=5.3916
Epoch 1: loss=5.3240
Epoch 1: loss=5.2678
Epoch 1: loss=5.9188
Epoch 1: loss=5.2643
Epoch 1: loss=5.2997
Epoch 1: loss=5.3071
Epoch 1: loss=5.7648
Epoch 1: loss=5.3146
Epoch 1: loss=5.2975
Epoch 1: loss=5.2655
Epoch 1: loss=5.7063
Epoch 1: loss=5.1960
Epoch 1: loss=5.1827
Epoch 1: loss=5.1872
Epoch 1: loss=5.1889
Epoch 1: loss=5.1770
Epoch 1: loss=5.9647
Epoch 1: loss=6.0769
Epoch 1: loss=5.2201
Epoch 1: loss=5.2148
Epoch 1: loss=6.3845
Epoch 1: loss=5.9262
Epoch 1: loss=5.2391
Epoch 1: loss=5.2385
Epoch 1: loss=6.3690
Epoch 1: loss=5.2448
Epoch 1: loss=6.1206
Epoch 1: loss=5.2496
Epoch 1: loss=5.2308
Epoch 1: loss=5.8876
Epoch 1: loss=5.2062
Epoch 1: loss=6.2268
Epoch 1: loss=5.7524
Epoch 1: loss=5.8482
Epoch 1: loss=6.0508
Epoch 1: loss=5.4953
Epoch 1: loss=5.8069
Epoch 1: loss=5.4988
Epoch 1: loss=6.1456
Epoch 1: loss=6.2091
Epoch 2: loss=5.8991
Epoch 2: loss=5.8527
Epoch 2: loss=5.5060
Epoch 2: loss=5.7646
Epoch 2: loss=5.7589
Epoch 2: loss=5.7559
Epoch 2: loss=5.4374
Epoch 2: loss=5.3901
Epoch 2: loss=5.3318
Epoch 2: loss=5.6909
Epoch 2: loss=5.2423
Epoch 2: loss=5.2136
Epoch 2: loss=5.1884
Epoch 2: loss=5.1745
Epoch 2: loss=5.1705
Epoch 2: loss=5.1639
Epoch 2: loss=5.7172
Epoch 2: loss=5.1637
Epoch 2: loss=5.1903
Epoch 2: loss=5.9036
Epoch 2: loss=5.2589
Epoch 2: loss=5.6213
Epoch 2: loss=5.3209
Epoch 2: loss=5.9532
Epoch 2: loss=5.3291
Epoch 2: loss=6.0837
Epoch 2: loss=5.3104
Epoch 2: loss=5.2975
Epoch 2: loss=5.2644
Epoch 2: loss=5.8928
Epoch 2: loss=5.7880
Epoch 2: loss=5.5670
Epoch 2: loss=5.1946
Epoch 2: loss=5.4841
Epoch 2: loss=5.6058
Epoch 2: loss=5.2097
Epoch 2: loss=5.6093
Epoch 2: loss=5.3892
Epoch 2: loss=5.8058
Epoch 2: loss=6.1245
Epoch 2: loss=5.2228
Epoch 2: loss=5.6624
Epoch 2: loss=5.5596
Epoch 2: loss=5.3590
Epoch 2: loss=5.3598
Epoch 2: loss=5.3218
Epoch 2: loss=5.2526
Epoch 2: loss=5.1651
Epoch 2: loss=5.7862
Epoch 2: loss=5.0760
Epoch 2: loss=5.8183
Epoch 2: loss=5.1015
Epoch 2: loss=5.5616
Epoch 2: loss=6.4273
Epoch 2: loss=6.2135
Epoch 2: loss=5.7668
Epoch 2: loss=5.5236
Epoch 2: loss=5.5835
Epoch 2: loss=5.5847
Epoch 2: loss=5.5321
Epoch 2: loss=5.7932
Epoch 3: loss=5.3527
Epoch 3: loss=5.8876
Epoch 3: loss=5.7506
Epoch 3: loss=5.1479
Epoch 3: loss=5.6533
Epoch 3: loss=5.7996
Epoch 3: loss=5.1224
Epoch 3: loss=5.4637
Epoch 3: loss=5.0825
Epoch 3: loss=5.6658
Epoch 3: loss=5.6221
Epoch 3: loss=5.9165
Epoch 3: loss=5.7162
Epoch 3: loss=5.5311
Epoch 3: loss=5.3875
Epoch 3: loss=5.4170
Epoch 3: loss=5.6071
Epoch 3: loss=5.5773
Epoch 3: loss=5.7593
Epoch 3: loss=5.6258
Epoch 3: loss=5.5006
Epoch 3: loss=5.4676
Epoch 3: loss=5.4595
Epoch 3: loss=5.4440
Epoch 3: loss=5.0458
Epoch 3: loss=5.0372
Epoch 3: loss=5.8713
Epoch 3: loss=4.9842
Epoch 3: loss=5.8345
Epoch 3: loss=4.9970
Epoch 3: loss=5.7013
Epoch 3: loss=5.0358
Epoch 3: loss=5.6704
Epoch 3: loss=5.0339
Epoch 3: loss=5.0055
Epoch 3: loss=4.9517
Epoch 3: loss=4.9299
Epoch 3: loss=6.1945
Epoch 3: loss=5.5530
Epoch 3: loss=4.9670
Epoch 3: loss=4.9668
Epoch 3: loss=5.3472
Epoch 3: loss=5.7688
Epoch 3: loss=5.0563
Epoch 3: loss=5.0449
Epoch 3: loss=5.7673
Epoch 3: loss=5.5840
Epoch 3: loss=4.9212
Epoch 3: loss=4.8863
Epoch 3: loss=4.8486
Epoch 3: loss=5.3383
Epoch 3: loss=4.8965
Epoch 3: loss=5.3914
Epoch 3: loss=6.3416
Epoch 3: loss=4.9056
Epoch 3: loss=5.0299
Epoch 3: loss=5.8434
Epoch 3: loss=5.6862
Epoch 3: loss=5.7014
Epoch 3: loss=5.7123
Epoch 3: loss=5.6585
Epoch 4: loss=5.6692
Epoch 4: loss=5.2953
Epoch 4: loss=5.1695
Epoch 4: loss=4.9891
Epoch 4: loss=5.8741
Epoch 4: loss=5.0163
Epoch 4: loss=5.2091
Epoch 4: loss=5.7348
Epoch 4: loss=5.1795
Epoch 4: loss=4.9934
Epoch 4: loss=5.4718
Epoch 4: loss=4.8398
Epoch 4: loss=5.6583
Epoch 4: loss=5.6591
Epoch 4: loss=5.0732
Epoch 4: loss=5.7218
Epoch 4: loss=5.4764
Epoch 4: loss=5.1970
Epoch 4: loss=5.1657
Epoch 4: loss=5.4158
Epoch 4: loss=6.1129
Epoch 4: loss=5.4204
Epoch 4: loss=5.7261
Epoch 4: loss=4.9806
Epoch 4: loss=4.9945
Epoch 4: loss=4.9959
Epoch 4: loss=5.6667
Epoch 4: loss=5.6671
Epoch 4: loss=6.2393
Epoch 4: loss=4.9625
Epoch 4: loss=5.4004
Epoch 4: loss=5.5840
Epoch 4: loss=4.9431
Epoch 4: loss=5.5438
Epoch 4: loss=5.4519
Epoch 4: loss=5.4696
Epoch 4: loss=4.9538
Epoch 4: loss=6.0208
Epoch 4: loss=5.3893
Epoch 4: loss=5.0328
Epoch 4: loss=5.0254
Epoch 4: loss=5.5603
Epoch 4: loss=5.3245
Epoch 4: loss=5.7392
Epoch 4: loss=4.8684
Epoch 4: loss=4.8365
Epoch 4: loss=5.8020
Epoch 4: loss=4.8807
Epoch 4: loss=5.2639
Epoch 4: loss=5.2703
Epoch 4: loss=4.9377
Epoch 4: loss=4.8868
Epoch 4: loss=4.8299
Epoch 4: loss=5.2888
Epoch 4: loss=4.8198
Epoch 4: loss=5.3834
Epoch 4: loss=5.5835
Epoch 4: loss=5.2793
Epoch 4: loss=4.9386
Epoch 4: loss=4.9150
Epoch 4: loss=4.8511
Epoch 5: loss=5.3131
Epoch 5: loss=5.2243
Epoch 5: loss=5.4976
Epoch 5: loss=4.8179
Epoch 5: loss=5.7186
Epoch 5: loss=5.3697
Epoch 5: loss=5.3016
Epoch 5: loss=5.0216
Epoch 5: loss=5.2480
Epoch 5: loss=5.0228
Epoch 5: loss=4.9622
Epoch 5: loss=4.8626
Epoch 5: loss=5.5135
Epoch 5: loss=5.4660
Epoch 5: loss=5.3727
Epoch 5: loss=4.8081
Epoch 5: loss=4.8371
Epoch 5: loss=5.6710
Epoch 5: loss=5.2313
Epoch 5: loss=4.8080
Epoch 5: loss=4.7751
Epoch 5: loss=4.7367
Epoch 5: loss=5.5532
Epoch 5: loss=5.2363
Epoch 5: loss=5.2251
Epoch 5: loss=4.8900
Epoch 5: loss=4.8933
Epoch 5: loss=4.8496
Epoch 5: loss=4.7785
Epoch 5: loss=4.7059
Epoch 5: loss=5.4939
Epoch 5: loss=4.7226
Epoch 5: loss=5.0831
Epoch 5: loss=5.1142
Epoch 5: loss=4.7933
Epoch 5: loss=5.0521
Epoch 5: loss=5.0879
Epoch 5: loss=5.1898
Epoch 5: loss=4.7196
Epoch 5: loss=4.7209
Epoch 5: loss=5.0952
Epoch 5: loss=4.7136
Epoch 5: loss=4.6909
Epoch 5: loss=5.0043
Epoch 5: loss=4.6437
Epoch 5: loss=4.6205
Epoch 5: loss=5.0470
Epoch 5: loss=4.6155
Epoch 5: loss=4.6178
Epoch 5: loss=4.6031
Epoch 5: loss=4.5823
Epoch 5: loss=4.5731
Epoch 5: loss=4.9823
Epoch 5: loss=4.5956
Epoch 5: loss=5.1796
Epoch 5: loss=4.9360
Epoch 5: loss=4.5984
Epoch 5: loss=4.9151
Epoch 5: loss=4.5815
