Graph loaded
<torch.utils.data.dataloader.DataLoader object at 0x7f2ac1422250>
Data Loaded
Starting training
Epoch 1: loss=6.4578
Epoch 1: loss=6.4232
Epoch 1: loss=6.4123
Epoch 1: loss=6.3805
Epoch 1: loss=6.8846
Epoch 1: loss=6.4647
Epoch 1: loss=6.3400
Epoch 1: loss=6.3587
Epoch 1: loss=6.4694
Epoch 1: loss=6.4654
Epoch 1: loss=6.5320
Epoch 1: loss=6.4116
Epoch 1: loss=6.4131
Epoch 1: loss=6.5085
Epoch 1: loss=6.3886
Epoch 1: loss=6.3871
Epoch 1: loss=6.3809
Epoch 1: loss=6.3694
Epoch 1: loss=6.3522
Epoch 1: loss=6.3274
Epoch 1: loss=6.2939
Epoch 1: loss=6.2561
Epoch 1: loss=6.2162
Epoch 1: loss=6.1707
Epoch 1: loss=6.1054
Epoch 1: loss=6.0018
Epoch 1: loss=5.8745
Epoch 1: loss=6.6871
Epoch 1: loss=5.7079
Epoch 1: loss=6.0677
Epoch 1: loss=5.6327
Epoch 1: loss=5.8218
Epoch 1: loss=5.9313
Epoch 1: loss=9.7129
Epoch 1: loss=5.5208
Epoch 1: loss=5.6492
Epoch 1: loss=5.7497
Epoch 1: loss=7.2992
Epoch 1: loss=5.9228
Epoch 1: loss=6.0048
Epoch 1: loss=5.9803
Epoch 1: loss=5.8680
Epoch 1: loss=5.7140
Epoch 1: loss=5.6021
Epoch 1: loss=7.5681
Epoch 1: loss=5.9498
Epoch 1: loss=5.8980
Epoch 1: loss=5.9537
Epoch 1: loss=5.6139
Epoch 1: loss=5.5851
Epoch 1: loss=5.5344
Epoch 1: loss=9.1316
Epoch 1: loss=6.0670
Epoch 1: loss=5.5306
Epoch 1: loss=5.6078
Epoch 1: loss=5.6565
Epoch 1: loss=6.4593
Epoch 1: loss=5.6326
Epoch 1: loss=6.0558
Epoch 1: loss=5.4904
Epoch 1: loss=5.4338
Epoch 1: loss=8.4506
Epoch 2: loss=5.4079
Epoch 2: loss=6.3418
Epoch 2: loss=5.4348
Epoch 2: loss=5.4303
Epoch 2: loss=6.2886
Epoch 2: loss=6.3057
Epoch 2: loss=5.3976
Epoch 2: loss=5.3763
Epoch 2: loss=5.7765
Epoch 2: loss=5.3295
Epoch 2: loss=5.9335
Epoch 2: loss=6.2281
Epoch 2: loss=6.4371
Epoch 2: loss=5.2618
Epoch 2: loss=5.6939
Epoch 2: loss=5.2526
Epoch 2: loss=5.2446
Epoch 2: loss=5.2333
Epoch 2: loss=5.9589
Epoch 2: loss=5.2119
Epoch 2: loss=5.2021
Epoch 2: loss=5.1864
Epoch 2: loss=5.7684
Epoch 2: loss=5.9718
Epoch 2: loss=7.0059
Epoch 2: loss=6.1855
Epoch 2: loss=6.0315
Epoch 2: loss=5.6654
Epoch 2: loss=6.3663
Epoch 2: loss=5.9852
Epoch 2: loss=5.8889
Epoch 2: loss=5.9107
Epoch 2: loss=6.0467
Epoch 2: loss=5.9060
Epoch 2: loss=5.8850
Epoch 2: loss=5.8482
Epoch 2: loss=5.9787
Epoch 2: loss=6.1213
Epoch 2: loss=6.1074
Epoch 2: loss=5.6119
Epoch 2: loss=5.5546
Epoch 2: loss=5.7202
Epoch 2: loss=6.1563
Epoch 2: loss=5.8368
Epoch 2: loss=7.9850
Epoch 2: loss=5.5249
Epoch 2: loss=5.5908
Epoch 2: loss=5.6243
Epoch 2: loss=6.9841
Epoch 2: loss=6.7603
Epoch 2: loss=6.0372
Epoch 2: loss=5.7558
Epoch 2: loss=6.4531
Epoch 2: loss=6.2853
Epoch 2: loss=5.9097
Epoch 2: loss=5.9142
Epoch 2: loss=6.0548
Epoch 2: loss=6.2665
Epoch 2: loss=6.3627
Epoch 2: loss=5.7039
Epoch 2: loss=5.6504
Epoch 2: loss=5.5723
Epoch 3: loss=5.9210
Epoch 3: loss=5.8407
Epoch 3: loss=5.7906
Epoch 3: loss=5.3427
Epoch 3: loss=5.3475
Epoch 3: loss=5.3419
Epoch 3: loss=5.9711
Epoch 3: loss=5.3205
Epoch 3: loss=5.5941
Epoch 3: loss=6.3933
Epoch 3: loss=6.2262
Epoch 3: loss=5.5399
Epoch 3: loss=5.9071
Epoch 3: loss=5.6217
Epoch 3: loss=6.1404
Epoch 3: loss=5.8214
Epoch 3: loss=6.0762
Epoch 3: loss=5.5733
Epoch 3: loss=6.1021
Epoch 3: loss=6.0579
Epoch 3: loss=6.0532
Epoch 3: loss=6.0413
Epoch 3: loss=5.8023
Epoch 3: loss=5.5834
